"FIPS","Region","any","full","Country"
"CA14","Nunavut",79.715149987396,63.5165112175447,"Canada"
"CA13","Northwest Territories",88.8042332689268,81.5299490602494,"Canada"
"US02","Alaska",67.46,58.04,"USA"
"CA12","Yukon",85.6327526292776,79.4283478701125,"Canada"
"CA10","Quebec",85.2033063450565,77.8114354562088,"Canada"
"CA05","Newfoundland and Labrador",94.1664462866933,86.309612782805,"Canada"
"CA02","British Columbia",84.2779239150967,78.691905664845,"Canada"
"CA01","Alberta",78.8749658000288,72.6236472974584,"Canada"
"CA11","Saskatchewan",80.5439728661936,74.2202735610426,"Canada"
"CA03","Manitoba",82.2585260772279,75.4119954673308,"Canada"
"CA08","Ontario",83.0558960037978,77.4591322076772,"Canada"
"US27","Minnesota",72.95,66.59,"USA"
"US53","Washington",78.06,69.54,"USA"
"US30","Montana",63.39,54.97,"USA"
"US38","North Dakota",63.64,53.71,"USA"
"US16","Idaho",54.01,47.58,"USA"
"US55","Wisconsin",69.83,63.08,"USA"
"CA04","New Brunswick",86.4346713448584,78.9629980391391,"Canada"
"US26","Michigan",64.77,57.79,"USA"
"US23","Maine",87.99,77.11,"USA"
"CA09","Prince Edward Island",87.6725217693557,80.8171973415317,"Canada"
"CA07","Nova Scotia",87.1904570465087,79.8655322008676,"Canada"
"US41","Oregon",75.5,67.45,"USA"
"US46","South Dakota",73.22,58.42,"USA"
"US33","New Hampshire",103.8,68.36,"USA"
"US50","Vermont",91.49,78.93,"USA"
"US36","New York",86.72,73.39,"USA"
"US56","Wyoming",56.79,49.53,"USA"
"US19","Iowa",66.27,59.98,"USA"
"US31","Nebraska",68.2,61.14,"USA"
"US25","Massachusetts",93.7,75.87,"USA"
"US17","Illinois",74.77,65.59,"USA"
"US42","Pennsylvania",81.1,65.18,"USA"
"US09","Connecticut",91.72,76.03,"USA"
"US44","Rhode Island",93.41,78.1,"USA"
"US06","California",85.76,68.21,"USA"
"US49","Utah",69.03,60.16,"USA"
"US32","Nevada",72.23,57.93,"USA"
"US39","Ohio",61.92,56.31,"USA"
"US18","Indiana",59.41,52.87,"USA"
"US34","New Jersey",86.43,71.94,"USA"
"US08","Colorado",76.78,67.73,"USA"
"US54","West Virginia",63.24,55.88,"USA"
"US29","Missouri",64.07,54.01,"USA"
"US20","Kansas",71.82,58.56,"USA"
"US10","Delaware",79.39,65.66,"USA"
"US24","Maryland",82.85,72,"USA"
"US51","Virginia",82.58,70.17,"USA"
"US21","Kentucky",64.18,55.29,"USA"
"US04","Arizona",69.37,58.3,"USA"
"US40","Oklahoma",68.53,54.68,"USA"
"US35","New Mexico",83.5,67.82,"USA"
"US47","Tennessee",60.27,52.4,"USA"
"US37","North Carolina",80.04,57.96,"USA"
"US48","Texas",69,58.26,"USA"
"US05","Arkansas",64.55,52.31,"USA"
"US45","South Carolina",65.21,54.5,"USA"
"US01","Alabama",60.44,48.89,"USA"
"US13","Georgia",63.23,52.4,"USA"
"US28","Mississippi",57.68,49.67,"USA"
"US22","Louisiana",59.09,51.37,"USA"
"US12","Florida",76.55,64.56,"USA"
"US15","Hawaii",84.25,75.39,"USA"
