"Province","Share Fully Vaccinated","Share Boosted","Share With At Least One Dose","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31"
"Alberta",72.6665328868937,15.1165326967385,79.2773341941771,77.8054434944887,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alberta",72.6665328868937,15.973237781466,79.2773341941771,NA,77.7825801286031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alberta",72.6665328868937,17.0279056105402,79.2773341941771,NA,NA,77.8574789045182,77.8574789045182,77.8574789045182,77.8574789045182,77.8574789045182,77.8574789045182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alberta",72.6665328868937,19.8520234638089,79.2773341941771,NA,NA,NA,NA,NA,NA,NA,NA,78.1913466858075,78.1913466858075,78.1913466858075,78.1913466858075,78.1913466858075,78.1913466858075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alberta",72.6665328868937,22.6380431643346,79.2773341941771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.4413895825825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alberta",72.6665328868937,23.1704329699579,79.2773341941771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.4948120069807,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alberta",72.6665328868937,23.7328225541064,79.2773341941771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.438078645057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alberta",72.6665328868937,24.3265541887498,79.2773341941771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.6162652490485,78.6162652490485,78.6162652490485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alberta",72.6665328868937,25.7588702365285,79.2773341941771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.6492180259072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alberta",72.6665328868937,26.2636316107733,79.2773341941771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.702036427919,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alberta",72.6665328868937,26.7645003963058,79.2773341941771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.7580091690598,NA,NA,NA,NA,NA,NA,NA,NA
"Alberta",72.6665328868937,27.2524833709281,79.2773341941771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.8197984220698,NA,NA,NA,NA,NA,NA,NA
"Alberta",72.6665328868937,27.7282964130242,79.2773341941771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.8796413807236,78.8796413807236,78.8796413807236,NA,NA,NA,NA
"Alberta",72.6665328868937,28.8611068419405,79.2773341941771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.0452106281989,79.0452106281989,NA,NA
"Alberta",72.6665328868937,29.5172988655788,79.2773341941771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.2773341941771,NA
"Alberta",72.6665328868937,29.8282585385835,79.2773341941771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.8749658000288
"British Columbia",78.691905664845,14.1557082681036,84.2779239150967,82.5303762285322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"British Columbia",78.691905664845,14.5348861516172,84.2779239150967,NA,82.6541273625692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"British Columbia",78.691905664845,14.9341697937012,84.2779239150967,NA,NA,82.7729755800549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"British Columbia",78.691905664845,15.3437153541483,84.2779239150967,NA,NA,NA,82.8667771153139,82.8667771153139,82.8667771153139,82.8667771153139,82.8667771153139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"British Columbia",78.691905664845,16.3266551049053,84.2779239150967,NA,NA,NA,NA,NA,NA,NA,NA,82.9899391392227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"British Columbia",78.691905664845,16.8140202129386,84.2779239150967,NA,NA,NA,NA,NA,NA,NA,NA,NA,83.055976484244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
