"FIPS","Region","any","full","Country"
"CA14","Nunavut",57.7689845502432,49.8878443430703,"Canada"
"CA13","Northwest Territories",74.6462527340088,69.818774271303,"Canada"
"US02","Alaska",52.3,45.96,"USA"
"CA12","Yukon",76.7882939559159,72.4684281653386,"Canada"
"CA10","Quebec",73.4708391364599,61.4123396732092,"Canada"
"CA05","Newfoundland and Labrador",78.3998832031535,58.4207068514413,"Canada"
"CA02","British Columbia",73.2939439550904,63.2905649799949,"Canada"
"CA01","Alberta",64.5664180614173,56.6864375646763,"Canada"
"CA11","Saskatchewan",64.9352209424792,56.5881760772188,"Canada"
"CA03","Manitoba",70.0603466884403,63.0787134799298,"Canada"
"CA08","Ontario",71.2195347865375,63.4010858642702,"Canada"
"US27","Minnesota",59.99,54.36,"USA"
"US53","Washington",65.07,58.36,"USA"
"US30","Montana",50.36,44.77,"USA"
"US38","North Dakota",46.31,40.47,"USA"
"US16","Idaho",42.03,37.83,"USA"
"US55","Wisconsin",56.69,52.32,"USA"
"CA04","New Brunswick",73.0180829644121,61.5936128454469,"Canada"
"US26","Michigan",53.91,49.33,"USA"
"US23","Maine",69.38,64.37,"USA"
"CA09","Prince Edward Island",77.623556881567,56.0909017907332,"Canada"
"CA07","Nova Scotia",75.3579718232402,65.921608113354,"Canada"
"US41","Oregon",61.68,56.56,"USA"
"US46","South Dakota",54,47.58,"USA"
"US33","New Hampshire",65.65,58.79,"USA"
"US50","Vermont",76.19,68.03,"USA"
"US36","New York",64.65,57.99,"USA"
"US56","Wyoming",42.76,37.18,"USA"
"US19","Iowa",54.43,50.2,"USA"
"US31","Nebraska",55.28,50.15,"USA"
"US25","Massachusetts",73.61,64.53,"USA"
"US17","Illinois",63.67,49.31,"USA"
"US42","Pennsylvania",66.89,53.23,"USA"
"US09","Connecticut",71.18,64.05,"USA"
"US44","Rhode Island",68.88,62.37,"USA"
"US06","California",66.29,53.81,"USA"
"US49","Utah",53.81,45.83,"USA"
"US32","Nevada",55.37,45.4,"USA"
"US39","Ohio",50.79,47.04,"USA"
"US18","Indiana",48.26,44.8,"USA"
"US34","New Jersey",67.39,59.26,"USA"
"US08","Colorado",61.38,55.14,"USA"
"US54","West Virginia",46.33,39.22,"USA"
"US29","Missouri",50.33,42.42,"USA"
"US20","Kansas",54.8,46,"USA"
"US10","Delaware",61.91,53.46,"USA"
"US24","Maryland",65.99,59.64,"USA"
"US51","Virginia",63.06,55.33,"USA"
"US21","Kentucky",53.76,46.36,"USA"
"US04","Arizona",54.36,45.95,"USA"
"US40","Oklahoma",49.86,41.07,"USA"
"US35","New Mexico",66.91,57.95,"USA"
"US47","Tennessee",46.36,39.75,"USA"
"US37","North Carolina",52.62,44.37,"USA"
"US48","Texas",53.62,44.72,"USA"
"US05","Arkansas",49.63,37.87,"USA"
"US45","South Carolina",48.28,41.25,"USA"
"US01","Alabama",45.55,35.01,"USA"
"US13","Georgia",48.06,39.4,"USA"
"US28","Mississippi",42.43,35.36,"USA"
"US22","Louisiana",45.42,37.79,"USA"
"US12","Florida",60.22,49.84,"USA"
"US15","Hawaii",72.3,54.02,"USA"
