"date","Total Vaccinations","Boosted","Distributed","Fully Vaccinated","New Doses Administered","New Fully Vaccinated","New Boosted","At Least One"
2021-01-01,105404,0,420450,3,6962,1,0,105401
2021-01-02,110048,0,420450,3,4644,0,0,110045
2021-01-03,115256,0,420450,3,5208,0,0,115253
2021-01-04,138858,0,420450,3,23602,0,0,138855
2021-01-05,156683,0,420450,6,17825,3,0,156677
2021-01-06,184772,0,436830,448,28089,442,0,184324
2021-01-07,221912,0,484605,1424,37140,976,0,220488
2021-01-08,263780,0,548955,2694,41868,1270,0,261086
2021-01-09,299989,0,548955,3936,36209,1242,0,296053
2021-01-10,323497,0,548955,3952,23508,16,0,319545
2021-01-11,361841,0,548955,3963,38344,11,0,357878
2021-01-12,393052,0,555780,5516,31211,1553,0,387536
2021-01-13,423365,0,710805,13286,30313,7770,0,410079
2021-01-14,466005,0,744930,16356,42640,3070,0,449649
2021-01-15,515478,0,766765,19413,49473,3057,0,496065
2021-01-16,553360,0,782275,20597,37882,1184,0,532763
2021-01-17,581955,0,822765,21855,28595,1258,0,560100
2021-01-18,623250,0,855765,22590,41295,735,0,600660
2021-01-19,662635,0,895740,24840,39385,2250,0,637795
2021-01-20,705977,0,925365,37992,43342,13152,0,667985
2021-01-21,749071,0,939050,43792,43094,5800,0,705279
2021-01-22,787098,0,1122450,50128,38027,6336,0,736970
2021-01-23,814582,0,1122450,54510,27484,4382,0,760072
2021-01-24,829258,0,1122450,57169,14676,2659,0,772089
2021-01-25,852707,0,1122450,65406,23449,8237,0,787301
2021-01-26,882364,0,1122450,73625,29657,8219,0,808739
2021-01-27,905482,0,1122450,83175,23118,9550,0,822307
2021-01-28,930500,0,1122450,93114,25018,9939,0,837386
2021-01-29,952276,0,1122450,102556,21776,9442,0,849720
2021-01-30,967430,0,1122450,111068,15154,8512,0,856362
2021-01-31,972603,0,1122450,113624,5173,2556,0,858979
2021-02-01,990915,0,1122450,118207,18312,4583,0,872708
2021-02-02,1002530,0,1152675,123141,11615,4934,0,879389
2021-02-03,1016197,0,1157940,132494,13667,9353,0,883703
2021-02-04,1035774,0,1160865,145049,19577,12555,0,890725
2021-02-05,1059347,0,1200840,158374,23573,13325,0,900973
2021-02-06,1080961,0,1253140,172137,21614,13763,0,908824
2021-02-07,1094816,0,1253140,179929,13855,7792,0,914887
2021-02-08,1116233,0,1274015,190880,21417,10951,0,925353
2021-02-09,1143038,0,1278015,208239,26805,17359,0,934799
2021-02-10,1172962,0,1323415,228476,29924,20237,0,944486
2021-02-11,1206692,3,1445925,249555,33730,21079,3,957134
2021-02-12,1244168,5,1445925,272976,37476,23421,2,971187
