"date","BC","AB","SK","MB","ON","QC","NB","NS","PE","NL","YT","NT","NU"
2021-01-01,0,0,0,1.4380295543834e-06,0,1.15538601677898e-07,0,0,0,0,0,0,0
2021-01-02,0,0,0,1.4380295543834e-06,0,1.15538601677898e-07,0,0,0,0,0,0,0
2021-01-03,0,0,0,1.4380295543834e-06,0,1.15538601677898e-07,0,0,0,0,0,0,0
2021-01-04,0,0,0,1.4380295543834e-06,0,1.15538601677898e-07,0,0,0,0,0,0,0
2021-01-05,0,0,0,2.1570443315751e-06,0,3.46615805033693e-07,0,0,0,0,0,0,0
2021-01-06,0,0,0,4.31408866315021e-06,2.87875609886238e-05,1.38646322013477e-06,0,0,0,0,0,0,0
2021-01-07,0,0,0,0.000217142462711894,7.27722762665908e-05,4.04385105872642e-06,0,0,0,0,0,0,0
2021-01-08,0,0,0,0.000432846895869404,0.000135703223544047,7.51000910906336e-06,0,0,0,0,0,0,0
2021-01-09,0,0,0,0.000646394284695339,0.000196826579782683,1.12072443627561e-05,0,0,0,0,0,0,0
2021-01-10,0,0,0,0.000649270343804106,0.000196960475415189,1.23626303795351e-05,0,0,0,0,0,0,0
2021-01-11,0,0,0,0.000652865417690064,0.000196960475415189,1.30558619896024e-05,0,0,0,0,0,0,0
2021-01-12,0,0,0,0.000865693791738808,0.00020238324853165,1.55977112265162e-05,0,0,0.00691585312501873,0,0,0,0
2021-01-13,0,0,0.00122011188990195,0.00122663920988904,0.00029383396553272,1.79084832600742e-05,0.0023449729799166,0.00107606241161987,0.00691585312501873,0.00286493965421424,0,0,0
2021-01-14,0,0,0.00147524915880485,0.0015767994063814,0.000445002134631121,2.04503324969879e-05,0.0023449729799166,0.00107606241161987,0.00691585312501873,0.00286493965421424,0,0,0
2021-01-15,0,0,0.00147524915880485,0.00157967546549017,0.000572202985511087,2.38009519456469e-05,0.0023449729799166,0.00220012760740123,0.00691585312501873,0.00286493965421424,0,0,0
2021-01-16,0,0,0.00147524915880485,0.00158255152459893,0.000647184539714014,3.07332680463208e-05,0.0023449729799166,0.00220012760740123,0.00691585312501873,0.00286493965421424,0,0,0
2021-01-17,0,0,0.00147524915880485,0.00158470856893051,0.000726852441054624,3.82432771553842e-05,0.0023449729799166,0.00220012760740123,0.00691585312501873,0.00286493965421424,0,0,0
2021-01-18,0,0,0.00147524915880485,0.00158470856893051,0.000728124449563423,3.9514201773841e-05,0.00323283868928352,0.00220012760740123,0.00691585312501873,0.00286493965421424,0,0,0
2021-01-19,0,0,0.00147524915880485,0.00158902265759366,0.000857266787114715,4.49445160527022e-05,0.00323283868928352,0.00221512847745169,0.0084320670250445,0.00286493965421424,0,0,0
2021-01-20,0.00016761133326264,0.00162683362740275,0.00218256039932772,0.00191905044032465,0.00108328261478354,4.85262127047171e-05,0.00323283868928352,0.00250714541443404,0.0084320670250445,0.00286493965421424,0,0,0
2021-01-21,0.000319259682405029,0.00162683362740275,0.00218256039932772,0.00224979723783283,0.00134652142828881,5.18768321533761e-05,0.00323283868928352,0.00269615637706987,0.010781299629037,0.00286493965421424,0,0,0
2021-01-22,0.000418458226580877,0.00162683362740275,0.00287555700760191,0.00251008058717623,0.00164999587936191,6.19286904993532e-05,0.00323283868928352,0.00270515689910015,0.010781299629037,0.00286493965421424,0,0,0
2021-01-23,0.000418458226580877,0.00162683362740275,0.00287639904479301,0.00251511369061657,0.00193840707177817,6.95542382100945e-05,0.00323283868928352,0.00270515689910015,0.010781299629037,0.00286493965421424,0,0,0
2021-01-24,0.000418458226580877,0.00162683362740275,0.00300102054907561,0.00252230383838849,0.00210490629079842,7.1171778633585e-05,0.00323283868928352,0.00270515689910015,0.010781299629037,0.00286493965421424,0,0,0
2021-01-25,0.000606783432094796,0.0022093796622978,0.00312648409054931,0.00252805595660602,0.00238521679744811,7.38291664721767e-05,0.00357539113318112,0.00270815707311024,0.010781299629037,0.00286493965421424,0,0,0
2021-01-26,0.000780095831114669,0.00227604583679807,0.00312648409054931,0.00314281359110492,0.00278790791220758,7.914394214936e-05,0.00357539113318112,0.00270815707311024,0.0113386430784536,0.00286493965421424,0,0,0
2021-01-27,0.000790547785002928,0.00254181568681931,0.00351971545879238,0.00375541418127225,0.00322889317786354,9.73990412144678e-05,0.00357539113318112,0.0027091571311136,0.0113386430784536,0.00332869577215394,0,0,0
2021-01-28,0.000795298673133956,0.00283487840022658,0.00366286178127916,0.00438455211131499,0.00370127696934198,0.000116231833287965,0.00357539113318112,0.0027091571311136,0.0133762427859981,0.00332869577215394,0,0,0
2021-01-29,0.000809931408577519,0.00321071455177177,0.00384895200051196,0.0050079379231402,0.00412927435864494,0.000139224015021867,0.00357539113318112,0.00271415742113043,0.0133762427859981,0.00332869577215394,0,0,0
2021-01-30,0.000809931408577519,0.00350064529724948,0.00390452645512447,0.00563276176451978,0.0045381916203159,0.000159212193112143,0.00357539113318112,0.00271415742113043,0.0133762427859981,0.00332869577215394,0,0,0
